n,Time
10,509.44769515830956
20,658.2626028389419
30,647.9513545128533
40,697.2431751228687
50,600.511476937998
60,763.9973792645097
70,770.4867809961406
80,714.6409253719213
90,798.2689356225601
100,838.7941667917393
110,960.6189288982586
120,900.0402967521723
130,837.7971948317604
140,969.2413753547885
150,1013.79884835355
160,931.0749842223445
170,1268.7018620678787
180,1272.1345188776525
190,1178.8106511472454
200,1331.8249829968074
210,1241.7557364491533
220,1405.522728539179
230,1321.810322468297
240,1386.4200119032284
250,1572.5608946789357
260,1405.3765254641824
270,1593.5790191297367
280,1368.9323775292078
290,1708.3294089227802
300,1488.3913163938305
310,1500.2459416136755
320,1839.8307897840593
330,1579.340960021802
340,1576.5980201770703
350,1767.8259990273398
360,1925.6024035943803
370,1944.1706882723595
380,1629.608878207128
390,1804.1126568097006
400,2224.943380608658
410,2107.7644853017887
420,1928.995575097651
430,1824.315073959627
440,2004.3266215079236
450,1880.6035192436516
460,1909.4182278706805
470,2254.0435729399924
480,2439.1720150543274
490,2306.243722895123
500,2222.0005242316706
510,2233.292678382992
520,2092.9113503754897
530,2293.4062975955703
540,2195.2404550732117
550,2249.5017298744556
560,2322.098921837979
570,2729.255314505241
580,2843.586725232162
590,2824.851083093764
600,3109.52379206526
610,2714.992588688866
620,3030.252734096447
630,3217.4380029690683
640,3250.155591402818
650,3064.2854834064356
660,2943.705495198938
670,3007.6181746090974
680,2837.075634625317
690,3363.68075805675
700,3341.1676938432784
710,3427.1262584451224
720,3511.779595834
730,3496.597805389476
740,3277.061093781479
750,3534.6270873026124
760,3409.536178835288
770,3010.5306565537644
780,3675.8867459205817
790,3730.0963230649636
800,3443.871537596476
810,3100.555422073521
820,3872.395563236636
830,2995.346141823165
840,3772.1709433368296
850,3627.500131998412
860,3818.3507831687784
870,3258.7072874755286
880,3435.4391448616543
890,3273.098016743813
900,4074.830636098466
910,4020.5353467139726
920,3258.2456801434905
930,3323.342628617483
940,3711.4681253630993
950,3833.0132680530432
960,3311.880437510854
970,4288.514181963217
980,3740.72880591122
990,3345.8988554191506
1000,4296.818734103746
1010,3884.343600336513
1020,3717.981116617745
1030,3668.1471277135174
1040,3399.489531379054
1050,4340.37233602845
1060,3939.9129465609094
1070,4289.346682421739
1080,4191.8438428130985
1090,4428.898501594755
1100,4609.134306636418
1110,4283.214263917358
1120,3656.8588343324386
1130,4045.5014504881733
1140,4170.955041555591
1150,3728.21818070593
1160,3579.3812907333668
1170,4392.485283961104
1180,3700.0863969266234
1190,3657.4819959287706
1200,3710.442333856702
1210,4364.039232667694
1220,3660.4950083593762
1230,3845.1448558507445
1240,4471.7339683317
1250,4700.6255403250425
1260,3868.8633752308456
1270,4258.793181387222
1280,3903.298788550767
1290,3745.459743069293
1300,4136.000750033558
1310,3960.157242732496
1320,4350.05602909969
1330,4267.466249281321
1340,4404.205008246547
1350,4393.225279023591
1360,4793.212996297727
1370,3803.8284077517637
1380,4006.1427306384676
1390,4886.821477342285
1400,4260.682882308331
1410,4386.954553887978
1420,4868.172029841983
1430,4268.9544140429525
1440,4213.136783928648
1450,5110.418530618882
1460,4630.616950789701
1470,5110.471686000381
1480,4243.598519863082
1490,4066.2187791829515
1500,4593.814467039217
1510,4526.428721848055
1520,4426.834383547999
1530,3927.085108014688
1540,4084.1997989476286
1550,3912.7084375220898
1560,4311.938207211277
1570,5019.7314487227195
1580,5094.517629455835
1590,4189.670658610872
1600,4575.630443836468
1610,4670.96370650748
1620,5148.261852770527
1630,4723.517479353297
1640,4177.479462095817
1650,4137.027190820158
1660,4403.605242243081
1670,5180.514903863575
1680,5174.6761827975315
1690,4898.7675403848825
1700,4010.970659078076
1710,4376.820920181077
1720,4928.477069877104
1730,4759.226410189272
1740,4694.457226664665
1750,4400.984123536052
1760,4553.243143531495
1770,5171.635990969222
