n,Time
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,0.0
1400,0.0
1500,0.0
1600,0.0
1700,0.0
1800,0.0
1900,0.0
2000,0.0
2100,951.8187852615632
2200,878.3935333284718
2300,882.2093170371896
2400,953.5963877114601
2500,992.4538778476052
2600,1106.3226171244603
2700,1168.1757715317415
2800,1081.5979752298608
2900,992.5303194549675
3000,1286.7501949194034
3100,1307.8211780187278
3200,1439.4313537922044
3300,1411.578901018181
3400,1159.6074588658887
3500,1506.347235653828
3600,1193.408762970989
3700,1548.0495857754454
3800,1644.680640810195
3900,1474.1525126951537
4000,1334.8751380813987
4100,1666.3615766852622
4200,1444.334306285525
4300,1896.6241705811333
4400,1697.6911332339764
4500,1701.3017105681622
4600,1670.076726874862
4700,1531.0505872157835
4800,1826.057477714265
4900,1668.702244641596
5000,1597.8261349831612
5100,1566.7859396590168
5200,2140.6490471692346
5300,2045.0326384755858
5400,1986.4463475212099
5500,1770.5875922944301
5600,1971.7020746785824
5700,1808.040907417626
5800,1883.6898959688885
5900,2046.2937501149065
6000,1929.0508521703389
6100,1516.1803505710336
6200,1836.505207572496
6300,1875.128455826337
6400,1490.6561695448454
6500,1474.7779189400737
6600,1667.929821763103
6700,1612.5053255578252
6800,1576.5660513218104
6900,1529.0343435709563
7000,1479.4237721878592
7100,1252.5459921498978
7200,1433.7548703385853
7300,1162.3907557691718
7400,1497.810811689798
7500,1244.7652044198878
7600,1166.2085211067133
7700,1091.67692364802
7800,1059.7583299811972
7900,1076.7324339423587
8000,965.0173924985418
8100,1072.5814482301992
8200,813.7872967362783
8300,811.0262670222496
8400,810.104205522508
8500,765.3695227589866
8600,715.4122834816828
8700,785.9616062367019
8800,746.2094694819742
8900,669.1972534682269
9000,659.8803991416294
9100,667.4358426009505
9200,585.0610277756579
9300,563.4615114645127
9400,478.8974945695247
9500,579.9896036546508
9600,576.26021728637
9700,520.1091175967712
9800,417.93821254961483
9900,490.7562214818375
10000,410.2004792291549
