n,Time
50,0.00
150,0.00
250,0.00
350,0.00
450,0.00
550,0.00
650,0.00
750,0.00
850,0.00
950,0.00
1050,0.00
1150,0.00
1250,0.00
1350,0.00
1450,0.00
1550,0.00
1650,0.00
1750,0.00
1850,0.00
1950,0.00
2050,1020.94
2150,920.13
2250,904.70
2350,971.68
2450,945.59
2550,957.34
2650,1139.83
2750,1002.60
2850,947.01
2950,1190.11
3050,1005.66
3150,915.87
3250,1046.08
3350,1174.37
3450,1199.92
3550,1009.99
3650,1068.99
3750,949.04
3850,967.69
3950,1038.34
4050,1167.89
4150,967.67
4250,1132.63
4350,1121.99
4450,959.76
4550,993.80
4650,936.86
4750,1107.54
4850,1233.39
4950,1213.53
5050,1274.48
5150,1215.48
5250,1249.44
5350,1151.57
5450,989.59
5550,1003.36
5650,973.12
5750,1004.68
5850,1170.50
5950,1000.39
6050,1020.43
6150,1318.54
6250,1124.62
6350,1119.73
6450,1186.94
6550,1210.12
6650,1116.34
6750,1080.46
6850,1301.69
6950,1260.81
7050,1060.10
7150,1010.76
7250,1328.79
7350,1348.68
7450,1306.50
7550,1307.61
7650,1133.47
7750,1312.71
7850,1067.52
7950,1190.95
8050,1334.81
8150,1312.62
8250,1336.59
8350,1104.84
8450,1363.65
8550,1411.30
8650,1391.83
8750,1183.22
8850,1341.52
8950,1380.52
9050,1325.38
9150,1247.03
9250,1116.87
9350,1388.24
9450,1257.28
9550,1283.70
9650,1297.90
9750,1207.76
9850,1373.55
9950,1333.90
