n,Time
1,0.0
1001,0.0
2001,4540.017268186664
3001,5064.134574014149
4001,4452.430456265989
5001,4369.153923895191
6001,3891.2025478456235
7001,5576.8511142939515
8001,4011.7832559020767
9001,4315.000366637432
10001,4403.355820537982
11001,3569.3697979092312
12001,4878.175166352343
13001,4851.397891250307
14001,4012.977446208054
15001,3894.0092833817707
16001,3011.0782158817183
17001,2776.7972631446532
18001,1864.181656110304
19001,2149.3882174322125
20001,1420.566902472032
21001,1834.5348582866557
22001,1330.1913956815058
23001,1409.339105904074
